Date,EOD/XLB,EOD/XLE,EOD/XLF,EOD/XLI,EOD/XLK,EOD/XLP,EOD/XLU,EOD/XLV,EOD/XLY,Gold
1998-12-22,14.270455200710867,17.743581930228917,16.91109466275141,17.571360503780202,27.089372435254685,18.7409216972409,16.62555056161082,20.139443874934376,21.153510323094,288.7
1998-12-23,14.425825107069466,18.108920011151834,17.15891257984918,17.87824060271948,27.751741957908024,19.19488820491499,16.562280280496303,20.59648108176565,21.26107691247197,287.7
1998-12-24,14.762460696390233,18.027683142184,17.277865180056086,18.115825195446632,27.642756180850892,19.165281693544934,16.867167862857002,20.71570817919988,21.648183354855913,286.65
1998-12-29,14.901075350816429,18.09904600896472,17.228301596636552,18.462302726507104,27.801280947479434,19.471215644368755,17.054034445594187,20.864742050992685,21.91618012266017,286.7
1998-12-30,14.861471163837507,17.822573947725765,17.15891257984918,18.383107862264712,27.692295170422287,19.35278959888856,16.916343279366775,20.695836996294183,21.737515610790677,286.8
1998-12-31,15.029788958497909,17.802825943351554,17.000309112906592,18.53159823271918,27.60167617876915,19.20475704203832,16.857332779555026,20.91442000825695,21.716048964807367,287.45
1999-01-04,14.851570117092795,17.79295194116445,17.000309112906592,18.274214923931424,27.910266724536537,19.046855648064724,16.58195044710022,20.864742050992685,21.578702711351102,288.25
1999-01-05,15.208007799903019,17.694211919293394,17.15891257984918,18.650390529082767,28.623628174364963,19.19488820491499,16.78848719644133,21.192616568936856,21.945957541305123,287.0
1999-01-06,15.475336062010689,18.27677804833263,17.704111997464253,19.056264208325018,29.465790997079054,19.431740295875365,16.955683612574607,21.5502978612396,22.57128333284839,287.15
1999-01-07,15.36642454781867,18.197786030835776,17.981668064613746,18.887975121809944,29.37662081585051,19.20475704203832,16.896673112762866,21.45094194671105,22.54981767892109,288.6
1999-01-08,15.891180025289293,18.27677804833263,18.090707948136767,19.036465492264426,29.495514390821892,19.125806345051533,16.99502394578244,21.709267324485246,22.57128333284839,290.9
1999-01-11,15.920883165523467,17.931187971783928,17.823064597671184,18.858277047719053,29.782840530336127,18.7409216972409,16.542610113892394,21.758945281749504,22.452173658268727,291.25
1999-01-12,15.521799196933449,17.654715910544972,17.317516046791727,18.630591813022185,28.980308899279144,18.602757977514013,16.552445197194363,21.693655832792622,21.866551091585325,291.4
1999-01-13,15.175260938246392,17.397991853680224,17.08952356306179,18.155422627567827,28.960493303450605,18.63236448888405,16.660631113515887,21.47081312961677,21.975734959950017,288.2
1999-01-14,14.910976397561154,17.062275779318632,16.66327674565364,18.07622776332544,28.564181386879266,18.277086352443455,16.38524878106107,21.291972483465397,21.47944464920138,285.7
1999-01-15,15.138700472689926,17.32887383837048,17.14634332224192,18.383107862264712,29.416252007507644,18.481536013400085,16.463929447476744,21.58010463559814,21.74744141700564,285.85
1999-01-19,14.861471163837507,17.32887383837048,17.04987269632615,18.343510430143517,30.42684739476455,18.267217515320123,17.02452919568831,22.196111305675068,21.737515610790677,287.3
1999-01-20,14.925472557246245,17.180763805563885,17.248612824315867,18.302051755086865,30.704265736364498,18.3264305380602,16.955683612574614,22.301138563216707,22.104770440744662,285.9
1999-01-21,14.742658602900775,17.32887383837048,16.871443796015757,18.115825195446632,29.91164190322182,18.05010309860642,16.886838029460904,21.5502978612396,21.896328510230244,287.1
1999-01-22,14.455528247303656,17.230133816499425,16.752491195808844,17.75944830635588,29.38652861376478,17.961283564496274,17.004859029084393,21.460877538163906,21.995586572379974,287.25
1999-01-25,14.742658602900775,17.210385812125214,16.891269229383596,18.05642904726485,29.901734105307536,17.91193937887953,16.36557861445716,21.63971818431528,21.945957541305123,286.3
1999-01-26,14.703054415921855,17.04252777494441,16.901181946067492,18.05642904726485,31.10057765293581,18.336299375183557,16.690136363421768,21.73907409884381,22.462099464483686,287.3
1999-01-27,14.584241854985116,16.72655970495703,16.683102179021464,18.195020059689032,30.446662990593094,18.573151466143944,16.43442419757087,21.520491086881016,22.442247852053747,285.8
1999-01-28,14.39612196683528,16.63769368527309,16.930920096119227,18.214818775749613,31.51670516533572,18.90869192833784,16.463929447476744,21.92785033644804,22.67054139499812,282.3
1999-01-29,14.475330340793107,16.63769368527309,17.29769061342391,18.33361107211321,31.97246386939276,18.948167276831246,16.43442419757087,21.92785033644804,22.82935429443769,285.65
1999-02-01,14.594142901729851,16.469835648092285,17.000309112906592,18.363309146204106,32.00218726313561,18.87908541696779,16.404918947665,22.047077433882283,22.87898332551257,287.1
